@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
40,'2018/09/14 15:06:45:771',44,0.376048,-0.589252,-0.508831,0.350774,1.036344,0.204653,-0.1171,0.849677,0.055977,-0.593782,-0.533911,0.196453,-0.462797,-0.872078,-0.904561,-0.432852,1,?
41,'2018/09/14 15:06:45:905',45,0.389578,-0.617342,-0.514783,0.400023,1.044694,0.194464,-0.095263,0.852584,0.060843,-0.613664,-0.517029,0.211901,-0.464255,-0.858843,-0.893825,-0.427459,1,?
42,'2018/09/14 15:06:46:023',46,0.404714,-0.637599,-0.527322,0.446678,1.056687,0.142555,-0.097436,0.856528,0.072831,-0.639692,-0.501572,0.231791,-0.460588,-0.854926,-0.879582,-0.402018,1,?
43,'2018/09/14 15:06:46:308',47,0.377402,-0.704672,-0.534095,0.465158,1.057792,-0.12323,-0.220512,0.858812,0.108848,-0.718782,-0.497516,0.228121,-0.460094,-0.871306,-0.846708,-0.340376,1,?
44,'2018/09/14 15:06:46:455',48,0.315817,-0.754586,-0.546101,0.428174,1.038889,-0.241363,-0.229149,0.858812,0.12799,-0.753031,-0.49352,0.199321,-0.461865,-0.880669,-0.832584,-0.325163,1,?
45,'2018/09/14 15:06:46:640',49,0.240534,-0.787276,-0.580579,0.367703,0.982373,-0.294099,-0.241387,0.843277,0.127412,-0.7792,-0.492285,0.175931,-0.465419,-0.913969,-0.833949,-0.324795,1,?
46,'2018/09/14 15:06:46:789',50,0.228552,-0.783356,-0.569411,0.360409,0.950027,-0.332275,-0.251894,0.830691,0.112817,-0.791243,-0.493418,0.171358,-0.469835,-0.937747,-0.835533,-0.324414,1,?
47,'2018/09/14 15:06:46:939',51,0.261053,-0.759963,-0.50063,0.410606,0.92104,-0.368722,-0.143127,0.790914,0.083012,-0.804226,-0.487015,0.17615,-0.48618,-0.964991,-0.828952,-0.320011,1,?
48,'2018/09/14 15:06:47:239',53,0.327807,-0.730008,-0.434479,0.489305,0.919196,-0.358184,-0.073136,0.668721,0.126563,-0.74944,-0.498292,0.220867,-0.530127,-1.020535,-0.816182,-0.334366,1,?
49,'2018/09/14 15:06:47:389',54,0.33103,-0.717688,-0.439958,0.469514,0.918578,-0.383704,-0.07349,0.668863,0.182512,-0.714758,-0.525133,0.22982,-0.546436,-1.068699,-0.824582,-0.36213,1,?
50,'2018/09/14 15:06:47:524',55,0.330031,-0.689373,-0.438078,0.43808,0.865573,-0.396505,-0.084357,0.653291,0.237604,-0.682058,-0.567138,0.22714,-0.551961,-1.11646,-0.841842,-0.398724,1,?
51,'2018/09/14 15:06:47:672',56,0.341965,-0.619991,-0.414732,0.41782,0.787508,-0.399272,-0.095731,0.618953,0.27659,-0.659539,-0.613748,0.221732,-0.534015,-1.141765,-0.86294,-0.428121,1,?
52,'2018/09/14 15:06:47:855',57,0.423319,-0.409817,-0.316165,0.419681,0.677625,-0.394109,-0.108529,0.554322,0.31335,-0.643838,-0.687878,0.230354,-0.455492,-1.136366,-0.911142,-0.45018,1,?
53,'2018/09/14 15:06:48:005',58,0.43927,-0.373225,-0.296893,0.422071,0.669042,-0.389828,-0.108696,0.575005,0.321266,-0.637841,-0.696292,0.23807,-0.438235,-1.129813,-0.922911,-0.448736,1,?
54,'2018/09/14 15:06:48:006',58,0.442022,-0.364976,-0.292678,0.422575,0.672202,-0.38771,-0.107892,0.58754,0.323818,-0.63519,-0.69696,0.241003,-0.433527,-1.127219,-0.926129,-0.447389,1,?
55,'2018/09/14 15:06:48:139',59,0.456721,-0.310123,-0.266666,0.424713,0.701283,-0.373286,-0.099826,0.678917,0.342711,-0.614154,-0.696511,0.2634,-0.400314,-1.107567,-0.948384,-0.435515,1,?
56,'2018/09/14 15:06:48:139',59,0.455961,-0.30607,-0.265668,0.424303,0.708195,-0.371764,-0.097703,0.690393,0.345129,-0.610805,-0.694003,0.266576,-0.396846,-1.104817,-0.950485,-0.433132,1,?
57,'2018/09/14 15:06:48:288',60,0.435326,-0.285804,-0.270745,0.403717,0.737896,-0.371484,-0.087674,0.740383,0.360639,-0.587577,-0.66333,0.287768,-0.379005,-1.087998,-0.959513,-0.41268,1,?
58,'2018/09/14 15:06:48:438',61,0.389335,-0.253256,-0.283293,0.316947,0.747539,-0.358985,-0.093643,0.771315,0.378778,-0.568864,-0.626556,0.30411,-0.368368,-1.078068,-0.960504,-0.389624,1,?
59,'2018/09/14 15:06:48:892',64,0.310269,-0.070003,-0.158196,0.06409,0.752338,0.046952,0.034286,0.740727,0.337274,-0.562029,-0.569048,0.260882,-0.353662,-1.078255,-0.938683,-0.278576,1,?
60,'2018/09/14 15:06:49:043',65,0.309737,-0.024406,-0.099796,0.033444,0.83514,0.090322,0.036783,0.751925,0.294945,-0.57535,-0.549364,0.243199,-0.33785,-1.058826,-0.956002,-0.233235,1,?
61,'2018/09/14 15:06:49:205',66,0.307619,-0.017755,-0.08412,0.025449,0.923571,0.099891,0.037791,0.77195,0.28318,-0.579147,-0.541046,0.235753,-0.337493,-1.04625,-0.963696,-0.221451,1,?
62,'2018/09/14 15:06:49:506',68,0.26287,-0.064695,-0.082614,-0.011641,1.167092,0.121142,0.043506,0.780824,0.232782,-0.557445,-0.516293,0.173316,-0.37078,-0.997879,-0.958257,-0.207461,1,?
63,'2018/09/14 15:06:49:638',69,0.271223,-0.080822,-0.088109,-0.013362,1.167341,0.122382,0.048111,0.777043,0.189974,-0.555698,-0.526698,0.13717,-0.384184,-0.995584,-0.943695,-0.209506,1,?
64,'2018/09/14 15:06:49:804',70,0.281092,-0.092453,-0.096009,-0.008202,1.164347,0.122382,0.048727,0.776039,0.162586,-0.5614,-0.546309,0.117859,-0.400027,-0.993523,-0.937849,-0.21841,1,?
65,'2018/09/14 15:06:49:956',71,0.281105,-0.11442,-0.12071,-0.00054,1.158575,0.122382,0.048065,0.760672,0.138651,-0.566148,-0.571418,0.107115,-0.425547,-0.987288,-0.940402,-0.239446,1,?
66,'2018/09/14 15:06:50:124',72,0.285549,-0.150422,-0.164776,0.008203,1.154827,0.122382,0.045219,0.673893,0.093869,-0.575717,-0.590457,0.087269,-0.457267,-0.97385,-0.961038,-0.268511,1,?
