@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
8111,'2018/08/17 13:18:55:870',16361,-0.040716,-0.521331,-0.231483,0.058336,0.662965,-0.381921,-0.19233,0.51625,0.262587,-0.503811,-0.581822,0.288743,0.012956,-0.8099,-0.639973,0.142391,1,1
8112,'2018/08/17 13:18:55:887',16363,-0.037673,-0.507302,-0.226752,0.060552,0.662965,-0.380953,-0.191992,0.502328,0.258798,-0.499996,-0.577861,0.286311,0.011579,-0.809256,-0.638327,0.143795,1,1
8113,'2018/08/17 13:18:55:904',16365,-0.035131,-0.499997,-0.224783,0.062113,0.662965,-0.380213,-0.191992,0.493476,0.256874,-0.497991,-0.575305,0.284999,0.010732,-0.809021,-0.636584,0.144308,1,1
8114,'2018/08/17 13:18:55:920',16367,-0.027404,-0.486138,-0.221457,0.065899,0.662965,-0.379445,-0.191992,0.484885,0.252903,-0.494439,-0.569709,0.28271,0.009187,-0.808264,-0.631433,0.145012,1,1
8115,'2018/08/17 13:18:55:937',16369,-0.019678,-0.472278,-0.218131,0.069685,0.662965,-0.378677,-0.191992,0.476294,0.248933,-0.490887,-0.564113,0.280421,0.007642,-0.807506,-0.626281,0.145716,1,1
8116,'2018/08/17 13:18:55:954',16371,-0.011952,-0.458418,-0.214804,0.073471,0.662965,-0.377909,-0.191992,0.467703,0.244962,-0.487335,-0.558517,0.278133,0.006097,-0.806749,-0.621129,0.14642,1,1
8117,'2018/08/17 13:18:55:969',16373,-0.004225,-0.444559,-0.211478,0.077257,0.662965,-0.377142,-0.191992,0.459112,0.240991,-0.483783,-0.552921,0.275844,0.004552,-0.805991,-0.615978,0.147123,1,1
8118,'2018/08/17 13:18:55:986',16375,0.000959,-0.438004,-0.21012,0.079482,0.662965,-0.377114,-0.191992,0.459373,0.238944,-0.482236,-0.549882,0.274867,0.003855,-0.805468,-0.612568,0.147314,1,1
8119,'2018/08/17 13:18:56:003',16379,0.006143,-0.431449,-0.208763,0.081707,0.662965,-0.377087,-0.191992,0.459634,0.236897,-0.480688,-0.546842,0.27389,0.003158,-0.804946,-0.609159,0.147504,1,1
8120,'2018/08/17 13:18:56:019',16379,0.011327,-0.424894,-0.207405,0.083932,0.662965,-0.37706,-0.191992,0.459896,0.23485,-0.47914,-0.543803,0.272914,0.00246,-0.804423,-0.60575,0.147695,1,1
8121,'2018/08/17 13:18:56:036',16381,0.01651,-0.418339,-0.206048,0.086157,0.662965,-0.377033,-0.191992,0.460157,0.232803,-0.477593,-0.540763,0.271937,0.001763,-0.8039,-0.602341,0.147885,1,1
