@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
52,'2018/08/17 15:39:14:721',104,0.132741,-0.006823,0.173716,0.245142,1.037111,0.392425,0.309328,1.096306,0.266306,-0.020721,-0.072578,0.316319,0.171976,-0.180901,-0.190613,0.209772,1,1
53,'2018/08/17 15:39:14:737',106,0.142427,-0.002097,0.170426,0.252578,1.038501,0.392956,0.331545,1.097707,0.268096,-0.018857,-0.064351,0.315856,0.173503,-0.181635,-0.196705,0.21118,1,1
54,'2018/08/17 15:39:14:753',108,0.14751,0.001163,0.168012,0.257165,1.039429,0.393488,0.340481,1.098796,0.269595,-0.017813,-0.059546,0.315654,0.174246,-0.181852,-0.200154,0.212138,1,1
55,'2018/08/17 15:39:14:769',110,0.152594,0.004424,0.165597,0.261753,1.040357,0.394019,0.349416,1.099884,0.271095,-0.016769,-0.054741,0.315451,0.174988,-0.182069,-0.203604,0.213096,1,1
56,'2018/08/17 15:39:14:786',112,0.157677,0.007684,0.163183,0.266341,1.041285,0.394551,0.358352,1.100972,0.272595,-0.015725,-0.049936,0.315249,0.175731,-0.182286,-0.207053,0.214054,1,1
57,'2018/08/17 15:39:14:802',114,0.162761,0.010945,0.160769,0.270929,1.042213,0.395082,0.367287,1.10206,0.274094,-0.014681,-0.045131,0.315046,0.176474,-0.182503,-0.210503,0.215012,1,1
58,'2018/08/17 15:39:14:819',116,0.173422,0.018618,0.155753,0.2816,1.048607,0.396816,0.37896,1.107494,0.278644,-0.013345,-0.035285,0.314861,0.177721,-0.183152,-0.217906,0.216827,1,1
59,'2018/08/17 15:39:14:835',118,0.184083,0.026291,0.150738,0.292271,1.055001,0.398549,0.390633,1.112927,0.283193,-0.012008,-0.025439,0.314675,0.178968,-0.1838,-0.22531,0.218642,1,1
60,'2018/08/17 15:39:14:852',120,0.194744,0.033964,0.145722,0.302942,1.061395,0.400282,0.402306,1.11836,0.287743,-0.010672,-0.015593,0.314489,0.180215,-0.184449,-0.232713,0.220457,1,1
61,'2018/08/17 15:39:14:869',122,0.205405,0.041637,0.140706,0.313613,1.06779,0.402016,0.413979,1.123793,0.292292,-0.009335,-0.005747,0.314304,0.181462,-0.185098,-0.240116,0.222272,1,1
62,'2018/08/17 15:39:14:902',124,0.227382,0.05771,0.132186,0.337545,1.083471,0.404671,0.419455,1.14083,0.305953,-0.010059,0.012019,0.31445,0.18262,-0.187848,-0.256212,0.224509,1,1
63,'2018/08/17 15:39:14:919',126,0.23837,0.065747,0.127926,0.34951,1.091312,0.405998,0.422192,1.149349,0.312784,-0.010421,0.020901,0.314523,0.183199,-0.189224,-0.264259,0.225627,1,1
64,'2018/08/17 15:39:14:935',128,0.249359,0.073784,0.123666,0.361476,1.099153,0.407326,0.42493,1.157867,0.319614,-0.010782,0.029784,0.314596,0.183778,-0.190599,-0.272307,0.226746,1,1
65,'2018/08/17 15:39:14:952',130,0.260347,0.08182,0.119406,0.373442,1.106993,0.408653,0.427668,1.166386,0.326445,-0.011144,0.038667,0.31467,0.184357,-0.191975,-0.280355,0.227864,1,1
66,'2018/08/17 15:39:14:968',132,0.271336,0.089857,0.115146,0.385408,1.114834,0.40998,0.430405,1.174904,0.333275,-0.011506,0.047549,0.314743,0.184937,-0.19335,-0.288403,0.228983,1,1
67,'2018/08/17 15:39:14:985',134,0.28103,0.095339,0.112948,0.395743,1.117209,0.40976,0.430405,1.17919,0.340258,-0.013076,0.05344,0.314685,0.184521,-0.195394,-0.296178,0.228583,1,1
68,'2018/08/17 15:39:15:002',136,0.290724,0.100821,0.110749,0.406077,1.119583,0.40954,0.430405,1.183477,0.347241,-0.014646,0.05933,0.314627,0.184105,-0.197437,-0.303954,0.228184,1,1
69,'2018/08/17 15:39:15:019',138,0.300418,0.106303,0.10855,0.416412,1.121958,0.409319,0.430405,1.187763,0.354224,-0.016216,0.065221,0.314569,0.18369,-0.19948,-0.31173,0.227784,1,1
70,'2018/08/17 15:39:15:035',140,0.310112,0.111785,0.106352,0.426746,1.124332,0.409099,0.430405,1.19205,0.361207,-0.017786,0.071111,0.314511,0.183274,-0.201524,-0.319506,0.227385,1,1
71,'2018/08/17 15:39:15:052',142,0.314395,0.113643,0.105812,0.431197,1.124332,0.408753,0.430405,1.192162,0.364409,-0.018702,0.07316,0.314397,0.182784,-0.202623,-0.323188,0.226724,1,1
72,'2018/08/17 15:39:15:067',144,0.318678,0.115501,0.105272,0.435649,1.124332,0.407258,0.430356,1.192275,0.367611,-0.019617,0.075209,0.314283,0.182293,-0.203722,-0.32687,0.226063,1,1
73,'2018/08/17 15:39:15:084',146,0.325681,0.117245,0.104473,0.443276,1.124332,0.405763,0.430306,1.192388,0.372719,-0.020795,0.077899,0.313753,0.180522,-0.205562,-0.33301,0.223949,1,1
74,'2018/08/17 15:39:15:101',148,0.332685,0.118989,0.103674,0.450903,1.124332,0.404268,0.430257,1.192501,0.377826,-0.021973,0.080589,0.313223,0.17875,-0.207401,-0.33915,0.221835,1,1
